Rank,Position,Name,School,Grade,URL
1,S,Caleb Downs,Ohio State,9.2,https://bleacherreport.com/articles/25248468-nfl-draft-2026-scouting-report-ohio-state-s-caleb-downs
2,RB,Jeremiyah Love,Notre Dame,9.0,https://bleacherreport.com/articles/25248572-nfl-draft-2026-scouting-report-notre-dame-rb-jeremiyah-love
3,QB,Fernando Mendoza,Indiana,8.6,https://bleacherreport.com/articles/25248189-nfl-draft-2026-scouting-report-indiana-qb-fernando-mendoza
4,LB,Arvell Reese,Ohio State,8.5,https://bleacherreport.com/articles/25261843-nfl-draft-2026-scouting-report-ohio-state-lb-arvell-reese
5,Edge,Rueben Bain Jr.,Miami,8.5,https://bleacherreport.com/articles/25249523-nfl-draft-2026-scouting-report-miami-edge-rueben-bain-jr
6,LB,Sonny Styles,Ohio State,8.4,https://bleacherreport.com/articles/25249903-nfl-draft-2026-scouting-report-ohio-state-lb-sonny-styles
7,Edge,David Bailey,Texas Tech,8.4,https://bleacherreport.com/articles/25258657-nfl-draft-2026-scouting-report-texas-tech-edge-david-bailey
8,CB,Mansoor Delane,LSU,8.2,https://bleacherreport.com/articles/25250719-nfl-draft-2026-scouting-report-lsu-cb-mansoor-delane
9,WR,Jordyn Tyson,Arizona State,8.2,https://bleacherreport.com/articles/25248631-nfl-draft-2026-scouting-report-arizona-state-wr-jordyn-tyson
10,WR,Carnell Tate,Ohio State,8.1,https://bleacherreport.com/articles/25252853-nfl-draft-2026-scouting-report-ohio-state-wr-carnell-tate
11,CB,Jermod McCoy,Tennessee,8.1,https://bleacherreport.com/articles/25389365-nfl-draft-2026-scouting-report-tennessee-cb-jermod-mccoy
12,WR,Kevin Concepcion,Texas A&M,8.1,https://bleacherreport.com/articles/25293025-nfl-draft-2026-scouting-report-texas-am-wr-kc-concepcion
13,IOL,Olaivavega Ioane,Penn State,8.1,https://bleacherreport.com/articles/25258484-nfl-draft-2026-scouting-report-penn-state-iol-olaivavega-ioane
14,WR,Makai Lemon,USC,8.1,https://bleacherreport.com/articles/25260194-nfl-draft-2026-scouting-report-usc-wr-makai-lemon
15,OT,Spencer Fano,Utah,8.0,https://bleacherreport.com/articles/25249795-nfl-draft-2026-scouting-report-utah-ot-spencer-fano
16,IOL,Francis Mauigoa,Miami,8.0,https://bleacherreport.com/articles/25250168-nfl-draft-2026-scouting-report-miami-iol-francis-mauigoa
17,TE,Kenyon Sadiq,Oregon,8.0,https://bleacherreport.com/articles/25248486-nfl-draft-2026-scouting-report-oregon-te-kenyon-sadiq
18,S,Dillon Thieneman,Oregon,8.0,https://bleacherreport.com/articles/25248478-nfl-draft-2026-scouting-report-oregon-s-dillon-thieneman
19,DL,Keldric Faulk,Auburn,8.0,https://bleacherreport.com/articles/25252729-nfl-draft-2026-scouting-report-auburn-edge-keldric-faulk
20,S,Emmanuel McNeil-Warren,Toledo,8.0,https://bleacherreport.com/articles/25253200-nfl-draft-2026-scouting-report-toledo-s-emmanuel-mcneil-warren
21,CB,Avieon Terrell,Clemson,8.0,https://bleacherreport.com/articles/25252318-nfl-draft-2026-scouting-report-clemson-cb-avieon-terrell
22,WR,Omar Cooper Jr.,Indiana,8.0,https://bleacherreport.com/articles/25294718-nfl-draft-2026-scouting-report-indiana-wr-omar-cooper-jr
23,Edge,T.J. Parker,Clemson,7.9,https://bleacherreport.com/articles/25248619-nfl-draft-2026-scouting-report-clemson-edge-tj-parker
24,DL,Kayden McDonald,Ohio State,7.9,https://bleacherreport.com/articles/25293715-nfl-draft-2026-scouting-report-ohio-state-dl-kayden-mcdonald
25,Edge,Akheem Mesidor,Miami,7.9,https://bleacherreport.com/articles/25345435-nfl-draft-2026-scouting-report-miami-edge-akheem-mesidor
26,LB,CJ Allen,Georgia,7.8,https://bleacherreport.com/articles/25253011-nfl-draft-2026-scouting-report-georgia-lb-cj-allen
27,CB,D'Angelo Ponds,Indiana,7.8,https://bleacherreport.com/articles/25292962-nfl-draft-2026-scouting-report-indiana-cb-dangelo-ponds
28,WR,Denzel Boston,Washington,7.8,https://bleacherreport.com/articles/25252048-nfl-draft-2026-scouting-report-washington-wr-denzel-boston
29,Edge,Cashius Howell,Texas A&M,7.8,https://bleacherreport.com/articles/25250796-nfl-draft-2026-scouting-report-texas-am-edge-cashius-howell
30,CB,Chris Johnson,San Diego State,7.8,https://bleacherreport.com/articles/25271599-nfl-draft-2026-scouting-report-sdsu-cb-chris-johnson
31,DL,Peter Woods,Clemson,7.8,https://bleacherreport.com/articles/25248167-nfl-draft-2026-scouting-report-clemson-dl-peter-woods
32,RB,Jadarian Price,Notre Dame,7.8,https://bleacherreport.com/articles/25311700-nfl-draft-2026-scouting-report-notre-dame-rb-jadarian-price
33,OT,Kadyn Proctor,Alabama,7.7,https://bleacherreport.com/articles/25240068-nfl-draft-2026-scouting-report-alabama-ot-kadyn-proctor
34,CB,Chandler Rivers,Duke,7.7,https://bleacherreport.com/articles/25258822-nfl-draft-2026-scouting-report-duke-cb-chandler-rivers
35,OT,Blake Miller,Clemson,7.7,https://bleacherreport.com/articles/25292325-nfl-draft-2026-scouting-report-clemson-ot-blake-miller
36,Edge,Zion Young,Missouri,7.7,https://bleacherreport.com/articles/25284911-nfl-draft-2026-scouting-report-missouri-edge-zion-young
